metric,lut_a,lut_b,distance
cosine,cluster_1,cluster_7,3.3974647521972656e-06
cosine,cluster_2,base,5.459785461425781e-05
cosine,cluster_2,cluster_0,1.0013580322265625e-05
cosine,cluster_2,cluster_1,1.6689300537109375e-06
cosine,cluster_2,cluster_2,0.0
cosine,cluster_2,cluster_3,2.384185791015625e-07
cosine,cluster_2,cluster_4,6.556510925292969e-06
cosine,cluster_2,cluster_5,3.5762786865234375e-07
cosine,cluster_2,cluster_6,1.430511474609375e-06
cosine,cluster_2,cluster_7,1.3709068298339844e-06
cosine,cluster_3,base,4.982948303222656e-05
cosine,cluster_3,cluster_0,7.212162017822266e-06
cosine,cluster_3,cluster_1,4.76837158203125e-07
cosine,cluster_3,cluster_2,2.384185791015625e-07
cosine,cluster_3,cluster_3,0.0
cosine,cluster_3,cluster_4,7.808208465576172e-06
cosine,cluster_3,cluster_5,7.748603820800781e-07
cosine,cluster_3,cluster_6,4.76837158203125e-07
cosine,cluster_3,cluster_7,1.1920928955078125e-06
cosine,cluster_4,base,4.780292510986328e-05
cosine,cluster_4,cluster_0,1.5974044799804688e-05
cosine,cluster_4,cluster_1,1.1324882507324219e-05
cosine,cluster_4,cluster_2,6.556510925292969e-06
cosine,cluster_4,cluster_3,7.808208465576172e-06
cosine,cluster_4,cluster_4,0.0
cosine,cluster_4,cluster_5,5.781650543212891e-06
cosine,cluster_4,cluster_6,9.715557098388672e-06
cosine,cluster_4,cluster_7,6.020069122314453e-06
cosine,cluster_5,base,5.7816505432128906e-05
cosine,cluster_5,cluster_0,1.233816146850586e-05
cosine,cluster_5,cluster_1,2.7418136596679688e-06
cosine,cluster_5,cluster_2,3.5762786865234375e-07
cosine,cluster_5,cluster_3,7.748603820800781e-07
cosine,cluster_5,cluster_4,5.781650543212891e-06
cosine,cluster_5,cluster_5,0.0
cosine,cluster_5,cluster_6,2.5033950805664062e-06
cosine,cluster_5,cluster_7,1.9669532775878906e-06
cosine,cluster_6,base,4.297494888305664e-05
cosine,cluster_6,cluster_0,5.364418029785156e-06
cosine,cluster_6,cluster_1,5.960464477539063e-08
cosine,cluster_6,cluster_2,1.430511474609375e-06
cosine,cluster_6,cluster_3,4.76837158203125e-07
cosine,cluster_6,cluster_4,9.715557098388672e-06
cosine,cluster_6,cluster_5,2.5033950805664062e-06
cosine,cluster_6,cluster_6,0.0
cosine,cluster_6,cluster_7,2.384185791015625e-06
cosine,cluster_7,base,5.5909156799316406e-05
cosine,cluster_7,cluster_0,5.900859832763672e-06
cosine,cluster_7,cluster_1,3.3974647521972656e-06
cosine,cluster_7,cluster_2,1.3709068298339844e-06
cosine,cluster_7,cluster_3,1.1920928955078125e-06
cosine,cluster_7,cluster_4,6.020069122314453e-06
cosine,cluster_7,cluster_5,1.9669532775878906e-06
cosine,cluster_7,cluster_6,2.384185791015625e-06
cosine,cluster_7,cluster_7,0.0
